node	Location
EU482670_EU482670.1	South-eastern Asia
EU482464	South-eastern Asia
EU482658	South-eastern Asia
0.999576	South-eastern Asia
EU482451_EU482451.1	South-eastern Asia
EU482469_EU482469.1	South-eastern Asia
FJ432726	South-eastern Asia
EU482654_FJ461311	South-eastern Asia
0.995407	South-eastern Asia
FJ205877_FJ205877.1	South-eastern Asia
FJ024452	South-eastern Asia
EU482474_FJ562098	South-eastern Asia
EU482656	South-eastern Asia
EU482670.1	South-eastern Asia
EU482670	South-eastern Asia
FJ410224_FJ410224.1	South-eastern Asia
FJ410215	South-eastern Asia
EU482451	South-eastern Asia
EU482451.1	South-eastern Asia
EU482469.1	South-eastern Asia
EU482469	South-eastern Asia
0.995531	South-eastern Asia
EU482654_JF730049.1	South-eastern Asia
0.999917	South-eastern Asia
0.993220	South-eastern Asia
FJ205877	South-eastern Asia
FJ205877.1	South-eastern Asia
0.887445	South-eastern Asia
EU482474_FJ410217	South-eastern Asia
FJ410224	South-eastern Asia
FJ410224.1	South-eastern Asia
FJ390387_FJ461311	South-eastern Asia
FJ024454_FJ859028.1	South-eastern Asia
EU677148_EU677148.1	South-eastern Asia
0.919051	South-eastern Asia
FJ410241_JF730049.1	South-eastern Asia
EU482467_EU482467.1	South-eastern Asia
EU482679_EU482679.1	South-eastern Asia
FJ410202_FJ410202.1	South-eastern Asia
GU131899_GU131899.2	South-eastern Asia
0.877595	South-eastern Asia
EU482699	South-eastern Asia
FJ410217	South-eastern Asia
EU482474	South-eastern Asia
0.747471	South-eastern Asia
FJ461311	South-eastern Asia
FJ859028_FJ859028.1	South-eastern Asia
FJ024454	South-eastern Asia
EU677148.1	South-eastern Asia
EU677148	South-eastern Asia
EU482654_EU482654.1	South-eastern Asia
FJ547067	South-eastern Asia
FJ410241_FJ410241.1	South-eastern Asia
JF730049_JF730049.1	South-eastern Asia
EU482467	South-eastern Asia
EU482467.1	South-eastern Asia
EU482679.1	South-eastern Asia
EU482679	South-eastern Asia
FJ410202	South-eastern Asia
FJ410202.1	South-eastern Asia
GU131899.1_GU131899.2	South-eastern Asia
GU131899	South-eastern Asia
EU482701_EU482701.1	South-eastern Asia
FJ562098	South-eastern Asia
0.520154	South-eastern Asia
FJ547064_FJ547064.2	South-eastern Asia
FJ859028.1	South-eastern Asia
FJ859028	South-eastern Asia
EU482654	South-eastern Asia
EU482654.1	South-eastern Asia
FJ410241.1	South-eastern Asia
FJ410241	South-eastern Asia
JF730049.1	South-eastern Asia
JF730049	South-eastern Asia
GU131899.2	South-eastern Asia
GU131899.1	South-eastern Asia
EU482701.1	South-eastern Asia
EU482701	South-eastern Asia
FJ410237_FJ410237.1	South-eastern Asia
FJ390387_FJ390387.1	South-eastern Asia
FJ547064.1_FJ547064.2	South-eastern Asia
FJ547064	South-eastern Asia
FJ410237	South-eastern Asia
FJ410237.1	South-eastern Asia
FJ390387	South-eastern Asia
FJ390387.1	South-eastern Asia
FJ547064.1	South-eastern Asia
FJ547064.2	South-eastern Asia
