accession	id	country_code	serotype	genotype	year	Country ISO3	Continent	Country	Sub-region	Region	Int-region	Is Developed	Location
JQ922553	DENV2_JQ922553_American_IN_1980	IN	DENV2	American	1980.0	IND	Asia	India	Southern Asia	Asia	Southern Asia	Developing	Southern Asia
FM210246	DENV2_FM210246_Asian_I_VN_2005	VN	DENV2	AsianI	2005.0	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
AF276619	DENV2_AF276619_Cosmopolitan_CN_1987	CN	DENV2	Cosmopolitan	1987.0	CHN	Asia	China	Eastern Asia	Asia	Eastern Asia	Developing	Eastern Asia
EU482701	DENV2_EU482701_Asian_I_VN_2007	VN	DENV2	AsianI	2007.0	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
JN851121	DENV2_JN851121_Cosmopolitan_SG_2008	SG	DENV2	Cosmopolitan	2008.0	SGP	Asia	Singapore	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
GQ398284	DENV2_GQ398284_AsianAmerican_PR_1994	PR	DENV2	AsianAmerican	1994.0	PRI	Americas	Puerto Rico	Latin America and the Caribbean	Americas	Caribbean	Developing	Caribbean
EF105387	DENV2_EF105387_Sylvatic_NG_1966	NG	DENV2	Sylvatic	1966.0	NGA	Africa	Nigeria	Sub-Saharan Africa	Africa	Western Africa	Developing	Africa
AF208496	DENV2_AF208496_AsianAmerican_MQ_1998	MQ	DENV2	AsianAmerican	1998.0	MTQ	Americas	Martinique	Latin America and the Caribbean	Americas	Caribbean	Developing	Caribbean
GQ398302	DENV2_GQ398302_AsianAmerican_PR_1994	PR	DENV2	AsianAmerican	1994.0	PRI	Americas	Puerto Rico	Latin America and the Caribbean	Americas	Caribbean	Developing	Caribbean
FM210202	DENV2_FM210202_AsianAmerican_VN_2004	VN	DENV2	AsianAmerican	2004.0	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
GQ398308	DENV2_GQ398308_AsianAmerican_PR_1994	PR	DENV2	AsianAmerican	1994.0	PRI	Americas	Puerto Rico	Latin America and the Caribbean	Americas	Caribbean	Developing	Caribbean
JX669483	DENV2_JX669483_AsianAmerican_BR_1997	BR	DENV2	AsianAmerican	1997.0	BRA	Americas	Brazil	Latin America and the Caribbean	Americas	South America	Developing	South America
EU482676	DENV2_EU482676_Asian_I_VN_2006	VN	DENV2	AsianI	2006.0	VNM	Asia	Viet Nam	South-eastern Asia	Asia	South-eastern Asia	Developing	South-eastern Asia
EU920828	DENV2_EU920828_AsianAmerican_GF_1993	GF	DENV2	AsianAmerican	1993.0	GUF	Americas	French Guiana	Latin America and the Caribbean	Americas	South America	Developing	South America
