node	Location
FJ024452	South-eastern Asia
FJ410195	South-eastern Asia
FJ410195.1	South-eastern Asia
JF730049.1	South-eastern Asia
JF730049	South-eastern Asia
FJ547064_FJ547064.1	South-eastern Asia
0.717915	South-eastern Asia
FJ390387_FJ390387.1	South-eastern Asia
FJ024454_FJ859028.1	South-eastern Asia
EU677148	South-eastern Asia
EU482654.2	South-eastern Asia
EU482654.1	South-eastern Asia
FM210206	South-eastern Asia
FM210206.1	South-eastern Asia
FJ547064.1	South-eastern Asia
FJ547064	South-eastern Asia
FJ410237	South-eastern Asia
EU482652	South-eastern Asia
FJ390387.1	South-eastern Asia
FJ390387	South-eastern Asia
FJ859028_FJ859028.1	South-eastern Asia
FJ024454_FJ024454.2	South-eastern Asia
FJ859028	South-eastern Asia
FJ859028.1	South-eastern Asia
FJ024454	South-eastern Asia
FJ024454.1	South-eastern Asia
FJ024454.2	South-eastern Asia
